id,outlook,terrain,temperature,humidity,wind,play
1,sunny,slope,hot,high,weak,no
2,sunny,undulating,hot,low,strong,no
3,overcast,slope,hot,high,low,yes
4,rainy,flat,mild,high,weak,no
5,rainy,undulating,cool,low,weak,yes
6,rainy,flat,cool,normal,low,no
7,overcast,undulating,cool,normal,strong,yes
8,sunny,flat,mild,high,weak,no
9,sunny,slope,cool,normal,weak,yes
10,rainy,slope,mild,low,weak,no
11,sunny,flat,mild,normal,low,no
12,overcast,undulating,mild,high,strong,yes
13,overcast,undulating,hot,normal,weak,yes
14,rainy,slope,mild,high,low,no
15,sunny,flat,cool,normal,strong,yes
16,overcast,flat,mild,normal,low,yes
17,rainy,undulating,mild,high,strong,no
18,sunny,flat,hot,low,low,yes
19,overcast,slope,mild,low,low,yes
20,sunny,undulating,cool,normal,low,no
21,overcast,slope,hot,low,low,yes
22,overcast,undulating,cool,low,strong,no
23,sunny,flat,cool,low,low,no
